"ID","StoreOpenYear","YearsSinceRemodel","Cluster","RecommendedServices"
"2153","2006","","3","Fresh, Grocery"
"1499","2005","","1",""
"1073","1997","","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Starbucks, Wine"
"1223","1999","12.0","3",""
"1179","1999","21.0","3","Fresh, Grocery, Beer, Available, Wine"
"2129","2006","12.0","1",""
"1825","2003","11.0","1",""
"1172","1998","","3","Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"2274","2007","","1","Mobile, Kiosk, Fresh, Grocery"
"1772","2000","","2",""
"778","1995","18.0","1","Mobile, Kiosk, Fresh, Grocery"
"1773","2000","","2",""
"1400","2002","","2",""
"2276","2007","","1","Mobile, Kiosk, Fresh, Grocery"
"1546","2003","13.0","1",""
"2796","2013","","1",""
"1164","1999","21.0","3","Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"2503","2009","","2",""
"1165","1998","12.0","3","Beer, Available, Wine"
"2355","2007","","1","Mobile, Kiosk, Fresh, Grocery"
"2091","2006","","2",""
"1461","2002","","2",""
"2137","2007","13.0","1",""
"373","1989","13.0","3",""
"1964","2005","13.0","0",""
"2375","2008","","1","Mobile, Kiosk, Fresh, Grocery"
"981","1995","13.0","0","Beer, Available, Wine"
"2171","2006","13.0","0",""
"969","1995","8.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"1197","1999","13.0","0","CVS, pharmacy, Starbucks"
"1486","2002","12.0","1","CafePizza"
"2333","2008","12.0","0",""
"2121","2007","13.0","0","Beer, Available, Wine"
"1780","2001","","2",""
"1106","1997","21.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"2036","2005","","2",""
"1390","2001","13.0","0",""
"1761","2000","25.0","2",""
"982","1995","8.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Wine"
"2174","2006","13.0","1",""
"970","1995","13.0","0",""
"2476","2009","","2",""
"749","1995","12.0","0",""
"2431","2008","","2","Mobile, Kiosk"
"917","1994","13.0","1","Available, Beer"
"2056","2005","","2",""
"747","1995","8.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"1394","2002","","2",""
"1206","1999","13.0","3","Beer, Available, Wine"
"1787","2002","8.0","2",""
"1380","2001","18.0","3","Fresh, Grocery"
"2493","2009","","1","Mobile, Kiosk, Fresh, Grocery"
"2387","2008","","1","Mobile, Kiosk, Fresh, Grocery"
"1367","2001","","2",""
"2084","2007","","1","Fresh, Grocery"
"796","1997","8.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"1468","2007","13.0","3",""
"1346","2001","","2",""
"734","1995","13.0","3","CVS, pharmacy, Mobile, Kiosk"
"2816","2012","","3",""
"1302","2000","13.0","3","Wine"
"1453","2003","13.0","1","Starbucks"
"2053","2005","13.0","1",""
"2367","2008","","1","Fresh, Grocery"
"1322","2001","18.0","3","Fresh, Grocery"
"1198","1999","13.0","3",""
"1973","2005","16.0","2",""
"1126","1998","13.0","3","CVS, pharmacy, Beer, Available, Wine"
"2085","2005","13.0","2",""
"2279","2007","13.0","2","Mobile, Kiosk"
"2362","2008","","2","&"
"740","1995","12.0","2",""
"2027","2005","","1","Fresh, Grocery"
"2208","2006","13.0","2",""
"844","1993","13.0","2",""
"1250","2000","21.0","3","Fresh, Grocery, Wine"
"811","1992","13.0","2","Starbucks"
"1090","1997","11.0","1","Available, Beer"
"1273","2000","13.0","2",""
"1963","2005","13.0","1","Mobile, Kiosk"
"2360","2008","","2","&"
"750","1995","13.0","3","CVS, pharmacy, Mobile, Kiosk"
"686","1992","13.0","2","Starbucks"
"2815","2012","","1",""
"1370","2002","","3","Wine"
"695","1992","13.0","1","Starbucks"
"151","1981","11.0","3","Wine"
"1983","2005","13.0","1",""
"2126","2006","13.0","1",""
"2445","2009","","1","Mobile, Kiosk"
"795","1996","8.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Wine"
"1870","2004","13.0","3",""
"1059","1997","15.0","1","Starbucks"
"146","1981","13.0","1",""
"1182","1999","13.0","3",""
"2240","2007","13.0","1",""
"1274","2000","7.0","2","Fresh, Grocery, Mobile, Kiosk"
"2057","2006","11.0","1",""
"1310","2000","19.0","3","Mobile, Kiosk, Fresh, Grocery"
"797","1996","22.0","3","Mobile, Kiosk, Fresh, Grocery"
"1937","2004","13.0","1",""
"144","1981","18.0","1","Starbucks, Mobile, Kiosk, Fresh, Grocery"
"1511","2003","13.0","1","Mobile, Kiosk"
"1376","2002","","2",""
"2154","2006","13.0","1","Mobile, Kiosk"
"2011","2005","13.0","1",""
"1349","2001","13.0","3",""
"1807","2003","13.0","3",""
"921","1994","21.0","1","Fresh, Grocery"
"1907","2004","15.0","1",""
"682","1991","15.0","3","Wine"
"1844","2003","","2","&"
"2442","2008","15.0","1",""
"1030","1996","15.0","1",""
"2474","2009","","1",""
"959","1995","9.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Wine"
"90","1980","15.0","1",""
"1169","1999","21.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Wine"
"958","1995","9.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Starbucks, Wine"
"1920","2004","12.0","2","&"
"754","1995","12.0","2","&"
"1919","2005","11.0","1","Available, Beer"
"2055","2005","11.0","2","&"
"757","1997","19.0","1","Fresh, Grocery, Available, Beer"
"779","1996","8.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"2485","2009","","2","&"
"1876","2004","14.0","2",""
"2531","2009","","2","Mobile, Kiosk"
"1469","2002","8.0","2","Fresh, Grocery"
"1449","2002","16.0","2","Starbucks"
"2534","2011","","0",""
"1451","2002","14.0","2","Starbucks"
"2089","2005","8.0","2",""
"1369","2001","11.0","2",""
"1481","2002","14.0","3",""
"108","1980","14.0","3",""
"992","1995","19.0","0","Fresh, Grocery"
"1513","2003","14.0","1","Starbucks, Available, Beer"
"674","1991","13.0","3","CVS, pharmacy, Beer, Available, Wine"
"1479","2002","14.0","3","Beer, Available, Wine"
"780","1996","14.0","1","Available, Beer"
"2473","2009","16.0","1","Available, Beer"
"139","1980","14.0","3",""
"2728","2009","","1","Available, Beer"
"2068","2005","14.0","0",""
"1071","1997","14.0","1","Available, Beer"
"366","1989","12.0","3","CVS, pharmacy, Beer, Available, Wine"
"1094","1997","12.0","3","CVS, pharmacy, Beer, Available, Wine"
"687","1992","8.0","2",""
"3238","2017","","1","Starbucks, Fresh, Grocery, CafePizza"
"1450","2002","19.0","2","Fresh, Grocery, Mobile, Kiosk, Starbucks"
"2377","2008","","2","Fresh, Grocery"
"1473","2002","13.0","2",""
"2233","2007","","2",""
"2301","2007","12.0","2",""
"1853","2004","","2",""
"2155","2006","13.0","2","Mobile, Kiosk"
"1497","2002","13.0","2","Mobile, Kiosk"
"1300","2000","12.0","2","Fresh, Grocery"
"645","1991","13.0","2","Mobile, Kiosk"
"1974","2005","13.0","2",""
"669","1991","13.0","2","Starbucks"
"873","1993","13.0","2",""
"1921","2007","","2",""
"967","1995","13.0","2",""
"756","1995","9.0","3","CVS, pharmacy, Mobile, Kiosk, Fresh, Grocery, Wine"
"2332","2007","","1","Mobile, Kiosk, Fresh, Grocery"
"2277","2007","12.0","1",""
"1199","1999","12.0","3",""
"1910","2004","13.0","2",""
"2331","2007","13.0","2",""
"1298","2000","13.0","2","Fresh, Grocery"
"2372","2009","","1","Fresh, Grocery, Available, Beer"
"2371","2008","","1","Fresh, Grocery, Available, Beer"
"2339","2008","","1","Fresh, Grocery, Available, Beer"
"2204","2006","","1","Mobile, Kiosk, Fresh, Grocery, Available, Beer"
"1114","1998","11.0","1",""
"2737","2010","","1",""
"162","1982","18.0","0","CVS, pharmacy, Fresh, Grocery, Mobile, Kiosk, Beer, Available, Starbucks, Wine"
"1891","2004","11.0","1","Available, Beer"
"2284","2008","","1","Mobile, Kiosk, Fresh, Grocery"
"1811","2003","19.0","2","Fresh, Grocery, Starbucks"
"1470","2002","18.0","3","Mobile, Kiosk, Fresh, Grocery, Beer, Available, Wine"
"2098","2006","","0","Fresh, Grocery, Mobile, Kiosk"
"2498","2009","","1","Mobile, Kiosk, Fresh, Grocery"
"2273","2007","13.0","2",""
"1347","2001","8.0","2",""
"1031","1996","13.0","0",""
"2283","2007","11.0","2",""
"774","1995","13.0","0",""
"2422","2009","","1","Mobile, Kiosk, Available, Beer"
"1782","2002","23.0","2","&"
"2542","2009","","2","&"
"19","1970","12.0","3","Wine"
"2095","2005","12.0","1","Mobile, Kiosk"
"2357","2008","12.0","1",""
"775","1999","11.0","2",""
"167","1982","19.0","3","CVS, pharmacy, Fresh, Grocery, Beer, Available, Wine"
"1861","2004","15.0","2",""
"1914","2004","","0","Fresh, Grocery"
"2061","2005","12.0","2","&"
"1398","2002","","2","&"
"2220","2006","19.0","2","&"
"2727","2011","","2","Beer, Available, &"
"1397","2002","8.0","2","&"
"43","1972","12.0","2","&"
"1860","2003","12.0","2","Mobile, Kiosk, &"
"2460","2008","12.0","2","&"
"2335","2007","8.0","2",""
"2516","2009","8.0","2",""
"1231","1999","15.0","2","Mobile, Kiosk, Starbucks"
"2142","2006","8.0","2",""
"2550","2009","","2",""
"2338","2007","8.0","2",""
"2448","2008","12.0","1","Mobile, Kiosk, Fresh, Grocery"
"1065","1997","8.0","2","CVS, pharmacy"
"67","1978","15.0","2","Mobile, Kiosk"
"1763","2000","8.0","2",""
"1489","2003","","2",""
"2234","2007","","2",""
"1944","2004","","2","&"
"1764","2000","8.0","2",""
"1430","2002","","2",""
"1775","2000","8.0","2",""
"2520","2009","8.0","2",""
"2145","2006","8.0","2",""
